notes,target
"On January 22, across Nagapattinam district (TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees. Police arrested many of the activists.",Protests
"On January 22, in Nagercoil town (Tirunelveli, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees. Police arrested hundreds of the activists.",Protests
"On January 22, in Nanguneri town (Tirunelveli, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees. Police arrested hundreds of the activists.",Protests
"On January 22, in Nemili tehsil (Vellore, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, in Ottapidaram town (Thoothukudi, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, across Perambalur district (TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees. Police arrested many of the activists.",Protests
"On January 22, across Pudukkottai district (TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees. Police arrested many of the activists.",Protests
"On January 22, across Ramanathapuram district (TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, in Sankarankovil town (Tirunelveli, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees. Police arrested hundreds of the activists.",Protests
"On January 22, across Sivaganga district (TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, in Sivagiri town (Tirunelveli, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees. Police arrested hundreds of the activists.",Protests
"On January 22, in Srivaikuntam town (Thoothukudi, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, in Tenkasi town (Tirunelveli, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees. Police arrested hundreds of the activists.",Protests
"On January 22, in Thanjavur town (Thanjavur, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees. Police arrested thousands of activists.",Protests
"On January 22, across Theni district (TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, in Thirumangalam town (Chennai, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, across Thiruvarur district (TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees. Police arrested many of the activists.",Protests
"On January 22, across Thoothukudi district (TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, in Tiruchendur town (Thoothukudi, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, in Tiruchirappalli town (Tiruchirappalli, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees. Police arrested 500 protestors.",Protests
"On January 22, in Tirunelveli town (Tirunelveli, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees. Police arrested 580 of the activists.",Protests
"On January 22, in Tirupathur tehsil (Vellore, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, in Tiruppur town (Tiruppur, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees. The police detained 3000 activists.",Protests
"On January 22, in Usilampatti town (Madurai TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, in Vaniyambadi tehsil (Vellore, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, in Vellore town (Vellore, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, in Vilathikulam town (Thoothukudi, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, across Virudhunagar district (TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, in Walajapet tehsil (Vellore, TN), employees and teachers staged protests to stress their nine-point demand, including pay on a par with central government employees.",Protests
"On January 22, the Waithou Educated Youth Association (WEYA) and Waithou Women Welfare and Development Society (WWWDS) organized a protest in Waithou village (Thoubal, Manipur), against the Citizenship (Amendment) Bill (CAB), 2016.",Protests
"On January 22, the Dibrugarh District College Teachers' Association staged a demonstration in front of the office of the Deputy Commissioner in Dibrugarh city (Dibrugarh, Assam), against the Citizenship (Amendment) Bill 2016.",Protests
"On January 22, around 500 students took part in a protest march in Guwahati city (Kamrup Metropolitan, Assam), against the Citizenship (Amendment) Bill, 2016.",Protests
"On January 22, around 80 drivers and conductors staged a demonstration and parked 20 buses along Rashbehari road in Kolkata city (Kolkata, West Bengal), alleging that a sergeant from the southeast traffic guard had slapped one of them.",Protests
